[contextual, contextual-1-2a-dist, J,N,I&RA&4]<MYSEP>1.5950644609802607E-6
[contextual, contextual-1-2a-dist, N,C,.&RA&10]<MYSEP>-6.0915604698190096E-5
[contextual, contextual-1-2a-dist, C,D,D&RA&4]<MYSEP>5.881401097897846E-7
[contextual, contextual-1-2a-dist, C,D,N&RA&10]<MYSEP>6.374864147562728E-6
[contextual, contextual-1-2a-dist, R,N,I&LA&5]<MYSEP>-7.60037196529687E-5
[contextual, contextual-1-2a-dist, R,N,C&LA&0]<MYSEP>-0.007881358990907085
[contextual, contextual-1-2a-dist, C,N,.&LA&0]<MYSEP>-0.011541462421248398
[contextual, contextual-1-2a-dist, STR,R,I&RA&5]<MYSEP>-0.0031504218809439294
[contextual, contextual-1-2a-dist, N,I,.&RA&4]<MYSEP>-0.003937268103898173
[contextual, contextual-1-2a-dist, N,V,N&LA&5]<MYSEP>-2.1954069884240017E-5
[contextual, contextual-1-2a-dist, R,N,.&RA&10]<MYSEP>-3.7752559805495024E-5
[contextual, contextual-1-2a-dist, N,C,N&RA&5]<MYSEP>-1.3374816595107483E-5
[contextual, contextual-1-2a-dist, N,C,N&RA&0]<MYSEP>0.07023325386224147
[contextual, contextual-1-2a-dist, N,C,N&RA&2]<MYSEP>0.04428228867623098
[contextual, contextual-1-2a-dist, I,D,I&LA&1]<MYSEP>-1.5596042990928522E-4
[contextual, contextual-1-2a-dist, STR,R,J&RA&3]<MYSEP>-9.105953976906444E-6
[contextual, contextual-1-2a-dist, C,D,J&LA&0]<MYSEP>-0.01731584391839741
[contextual, contextual-1-2a-dist, N,V,I&LA&3]<MYSEP>-4.487853181173114E-5
[contextual, contextual-1-2a-dist, N,V,I&LA&0]<MYSEP>-7.515066250741812E-4
[contextual, contextual-1-2a-dist, V,I,I&RA&2]<MYSEP>-0.016064529448681728
[contextual, contextual-1-2a-dist, R,N,N&LA&5]<MYSEP>-1.656959715713463E-5
[contextual, contextual-1-2a-dist, J,N,.&LA&5]<MYSEP>6.030180446807373E-6
[contextual, contextual-1-2a-dist, R,N,N&LA&3]<MYSEP>-0.0015796916924133387
[contextual, contextual-1-2a-dist, N,I,C&RA&2]<MYSEP>-0.011409165720261738
[contextual, contextual-1-2a-dist, N,C,C&RA&10]<MYSEP>2.2596493587660854E-6
[contextual, contextual-1-2a-dist, D,J,I&LA&5]<MYSEP>3.1015015392891928E-6
[contextual, contextual-1-2a-dist, C,D,N&RA&5]<MYSEP>2.814909947163726E-6
[contextual, contextual-1-2a-dist, D,J,I&LA&2]<MYSEP>5.1424755894578465E-6
[contextual, contextual-1-2a-dist, C,D,N&RA&1]<MYSEP>-0.005097214900767033
[contextual, contextual-1-2a-dist, D,J,V&RA&1]<MYSEP>5.593114022612609E-6
[contextual, contextual-1-2a-dist, C,D,.&LA&10]<MYSEP>8.387139317096633E-6
[contextual, contextual-1-2a-dist, N,C,N&LA&2]<MYSEP>-0.004666577004494495
[contextual, contextual-1-2a-dist, N,C,N&LA&5]<MYSEP>-1.674946314296748E-6
[contextual, contextual-1-2a-dist, R,N,C&RA&0]<MYSEP>0.032371066974939536
[contextual, contextual-1-2a-dist, D,N,I&LA&0]<MYSEP>-0.0032464536139405653
[contextual, contextual-1-2a-dist, N,V,I&RA&0]<MYSEP>0.033831965139645606
[contextual, contextual-1-2a-dist, C,D,C&RA&5]<MYSEP>7.038532273671203E-6
[contextual, contextual-1-2a-dist, N,V,I&RA&3]<MYSEP>-0.019591525488091094
[contextual, contextual-1-2a-dist, N,C,N&LA&0]<MYSEP>-0.003989661268286639
[contextual, contextual-1-2a-dist, D,N,C&LA&3]<MYSEP>-6.786492096589401E-4
[contextual, contextual-1-2a-dist, D,N,C&LA&0]<MYSEP>-0.0030570032915653842
[contextual, contextual-1-2a-dist, STR,R,N&RA&0]<MYSEP>-0.02820401799674926
[contextual, contextual-1-2a-dist, N,C,J&RA&1]<MYSEP>-0.0021135773973534476
[contextual, contextual-1-2a-dist, I,D,D&RA&2]<MYSEP>-8.452224113874499E-6
[contextual, contextual-1-2a-dist, STR,R,N&RA&4]<MYSEP>-0.0031904119136844915
[contextual, contextual-1-2a-dist, STR,R,N&RA&5]<MYSEP>-8.382270309931466E-4
[contextual, contextual-1-2a-dist, N,I,C&LA&2]<MYSEP>-3.975690542797E-4
[contextual, contextual-1-2a-dist, N,C,.&LA&10]<MYSEP>3.839814240102778E-6
[contextual, contextual-1-2a-dist, N,C,J&LA&1]<MYSEP>-2.222993181877889E-6
[contextual, contextual-1-2a-dist, N,I,N&RA&1]<MYSEP>0.0680618618979604
[contextual, contextual-1-2a-dist, D,J,V&LA&1]<MYSEP>-3.5285702692608846E-4
[contextual, contextual-1-2a-dist, R,N,V&RA&4]<MYSEP>-0.006220995327859669
[contextual, contextual-1-2a-dist, N,I,N&RA&3]<MYSEP>-0.014834650947448751
[contextual, contextual-1-2a-dist, D,J,I&RA&5]<MYSEP>4.912407382479445E-6
[contextual, contextual-1-2a-dist, V,I,N&LA&4]<MYSEP>-0.0024899990460099434
[contextual, contextual-1-2a-dist, V,I,N&LA&5]<MYSEP>-7.367419587186259E-4
[contextual, contextual-1-2a-dist, V,I,N&LA&1]<MYSEP>-0.006280150277932684
[contextual, contextual-1-2a-dist, D,N,I&RA&0]<MYSEP>0.05032263363089173
[contextual, contextual-1-2a-dist, D,J,I&RA&2]<MYSEP>6.968626042690438E-6
[contextual, contextual-1-2a-dist, D,N,C&RA&3]<MYSEP>-0.015665060786440796
[contextual, contextual-1-2a-dist, N,C,.&LA&1]<MYSEP>-0.01227652733589581
[contextual, contextual-1-2a-dist, N,V,D&LA&4]<MYSEP>-2.1589218709396025E-5
[contextual, contextual-1-2a-dist, D,N,C&RA&0]<MYSEP>0.06401924151532001
[contextual, contextual-1-2a-dist, N,V,D&LA&1]<MYSEP>-7.852059458143807E-5
[contextual, contextual-1-2a-dist, I,D,.&RA&3]<MYSEP>-2.4888916870127425E-5
[contextual, contextual-1-2a-dist, J,N,D&RA&5]<MYSEP>-1.3579815030643676E-6
[contextual, contextual-1-2a-dist, J,N,N&RA&5]<MYSEP>-9.135668902426419E-7
[contextual, contextual-1-2a-dist, C,D,C&LA&5]<MYSEP>3.306706107690244E-6
[contextual, contextual-1-2a-dist, J,N,N&RA&3]<MYSEP>-4.449654705601508E-6
[contextual, contextual-1-2a-dist, D,N,D&RA&1]<MYSEP>-0.004721302604678545
[contextual, contextual-1-2a-dist, D,J,N&RA&4]<MYSEP>2.1205990638455017E-6
[contextual, contextual-1-2a-dist, D,J,N&RA&0]<MYSEP>-6.456786340474528E-4
[contextual, contextual-1-2a-dist, STR,R,C&RA&10]<MYSEP>-1.5654230648620693E-4
[contextual, contextual-1-2a-dist, C,D,N&LA&10]<MYSEP>1.3656227705097676E-6
[contextual, contextual-1-2a-dist, D,J,N&RA&5]<MYSEP>6.4366773431658535E-6
[contextual, contextual-1-2a-dist, D,J,C&LA&5]<MYSEP>-3.5104421676151565E-7
[contextual, contextual-1-2a-dist, J,N,D&RA&2]<MYSEP>7.11714646423989E-7
[contextual, contextual-1-2a-dist, I,D,.&RA&5]<MYSEP>-2.8399253343008766E-5
[contextual, contextual-1-2a-dist, R,N,.&LA&10]<MYSEP>-4.558938440766322E-5
[contextual, contextual-1-2a-dist, J,N,C&LA&5]<MYSEP>3.065418697964334E-6
[contextual, contextual-1-2a-dist, V,I,.&RA&5]<MYSEP>-0.0026643105766330343
[contextual, contextual-1-2a-dist, N,I,D&RA&0]<MYSEP>-0.02187389862827361
[contextual, contextual-1-2a-dist, J,N,D&LA&2]<MYSEP>1.767219421433092E-7
[contextual, contextual-1-2a-dist, J,N,D&LA&5]<MYSEP>4.76186591627833E-6
[contextual, contextual-1-2a-dist, N,C,N&RA&10]<MYSEP>-1.7641476383703533E-6
[contextual, contextual-1-2a-dist, C,D,.&RA&10]<MYSEP>1.2554724059424697E-6
[contextual, contextual-1-2a-dist, D,J,N&LA&0]<MYSEP>0.02943067972979867
[contextual, contextual-1-2a-dist, D,J,N&LA&5]<MYSEP>6.788025784957682E-6
[contextual, contextual-1-2a-dist, V,I,.&LA&5]<MYSEP>-0.017511584503031804
[contextual, contextual-1-2a-dist, D,J,N&LA&4]<MYSEP>5.837543132706411E-6
[contextual, contextual-1-2a-dist, J,N,V&LA&0]<MYSEP>-0.018893806093853525
[contextual, contextual-1-2a-dist, D,J,.&LA&10]<MYSEP>7.112351368321321E-6
[contextual, contextual-1-2a-dist, N,V,D&RA&4]<MYSEP>-0.0026348993713896105
[contextual, contextual-1-2a-dist, N,V,D&RA&1]<MYSEP>-0.004443563412950673
[contextual, contextual-1-2a-dist, N,I,D&LA&0]<MYSEP>-2.572067603233294E-4
[contextual, contextual-1-2a-dist, I,D,.&LA&3]<MYSEP>-0.002136715352664902
[contextual, contextual-1-2a-dist, I,D,.&LA&5]<MYSEP>-0.0030083543716782554
[contextual, contextual-1-2a-dist, C,D,N&LA&1]<MYSEP>0.04703588200417385
[contextual, contextual-1-2a-dist, C,D,N&LA&5]<MYSEP>2.2086926529118502E-7
[contextual, contextual-1-2a-dist, J,N,C&RA&5]<MYSEP>-1.319940332005516E-6
[contextual, contextual-2-4-dist, CC,DT,JJ&RA&2]<MYSEP>-2.4125923289472717E-4
[contextual, contextual-2-4-dist, VBZ,IN,DT&LA&2]<MYSEP>5.03943660921851E-6
[contextual, contextual-2-4-dist, CC,NN,CC&RA&10]<MYSEP>6.413797771018172E-6
[contextual, contextual-2-4-dist, DT,CC,NN&LA&5]<MYSEP>-7.338998208592978E-4
[contextual, contextual-2-4-dist, DT,CC,NN&LA&3]<MYSEP>-4.0492179375690713E-4
[contextual, contextual-2-4-dist, MID,MID,NNS&LA&0]<MYSEP>0.031326919527969246
[contextual, contextual-2-4-dist, VBZ,IN,DT&LA&5]<MYSEP>4.543127236797904E-6
[contextual, contextual-2-4-dist, DT,CC,NN&LA&10]<MYSEP>-1.7724860503998347E-6
[contextual, contextual-2-4-dist, IN,CC,NN&LA&4]<MYSEP>-3.4152993639162003E-4
[contextual, contextual-2-4-dist, IN,CC,NN&LA&5]<MYSEP>-1.2784974708636941E-7
[contextual, contextual-2-4-dist, DT,NN,VBZ&LA&3]<MYSEP>-0.020583100259514917
[contextual, contextual-2-4-dist, NNS,NN,.&RA&5]<MYSEP>-2.7101509687434345E-5
[contextual, contextual-2-4-dist, IN,CC,NN&RA&5]<MYSEP>-0.008491014047003965
[contextual, contextual-2-4-dist, IN,CC,NN&RA&4]<MYSEP>-0.010478491116475317
[contextual, contextual-2-4-dist, NN,CC,NN&LA&5]<MYSEP>2.5237537843687862E-6
[contextual, contextual-2-4-dist, MID,MID,VBZ&LA&0]<MYSEP>-0.018895060449231144
[contextual, contextual-2-4-dist, NN,DT,NNS&RA&4]<MYSEP>4.33430733198717E-6
[contextual, contextual-2-4-dist, NN,CC,NN&LA&2]<MYSEP>-5.8392118890337536E-5
[contextual, contextual-2-4-dist, JJ,NN,.&RA&10]<MYSEP>4.470950468818532E-6
[contextual, contextual-2-4-dist, NN,VBZ,IN&LA&2]<MYSEP>-6.812384762784203E-7
[contextual, contextual-2-4-dist, NN,NN,.&LA&10]<MYSEP>4.626819610346759E-6
[contextual, contextual-2-4-dist, JJ,IN,DT&LA&5]<MYSEP>3.1785337510839404E-6
[contextual, contextual-2-4-dist, JJ,IN,DT&LA&4]<MYSEP>1.2938165819228095E-6
[contextual, contextual-2-4-dist, CC,DT,JJ&LA&2]<MYSEP>-4.941305585640934E-5
[contextual, contextual-2-4-dist, CC,CC,NN&RA&1]<MYSEP>-0.01516819109642271
[contextual, contextual-2-4-dist, DT,CC,NN&RA&3]<MYSEP>-0.014827803614571065
[contextual, contextual-2-4-dist, DT,CC,NN&RA&5]<MYSEP>-0.009504883019409209
[contextual, contextual-2-4-dist, DT,NN,VBZ&RA&3]<MYSEP>-0.002255311164941907
[contextual, contextual-2-4-dist, MID,MID,JJ&RA&0]<MYSEP>-0.026739912827207703
[contextual, contextual-2-4-dist, NNS,IN,DT&LA&2]<MYSEP>-6.831034669664466E-5
[contextual, contextual-2-4-dist, DT,DT,NNS&LA&1]<MYSEP>-0.006276368757332372
[contextual, contextual-2-4-dist, CC,NN,VBZ&LA&4]<MYSEP>0.03941174649561578
[contextual, contextual-2-4-dist, DT,DT,NNS&LA&5]<MYSEP>-3.3127615538883695E-8
[contextual, contextual-2-4-dist, JJ,JJ,NN&LA&1]<MYSEP>0.04702878869258934
[contextual, contextual-2-4-dist, CC,NN,.&LA&2]<MYSEP>-0.011638531982899105
[contextual, contextual-2-4-dist, NN,DT,NNS&LA&4]<MYSEP>-1.4376113416841544E-6
[contextual, contextual-2-4-dist, MID,MID,VBZ&RA&0]<MYSEP>-0.004667008650251854
[contextual, contextual-2-4-dist, NNS,NN,.&RA&10]<MYSEP>-0.006580492056967447
[contextual, contextual-2-4-dist, NN,CC,NN&RA&5]<MYSEP>3.2424234877712614E-6
[contextual, contextual-2-4-dist, NNS,JJ,NN&RA&4]<MYSEP>-0.0031898167868208756
[contextual, contextual-2-4-dist, DT,NN,CC&RA&10]<MYSEP>2.08824486779053E-6
[contextual, contextual-2-4-dist, NN,CC,NN&RA&2]<MYSEP>-9.698458643287193E-5
[contextual, contextual-2-4-dist, DT,DT,JJ&LA&1]<MYSEP>-7.600759559845996E-6
[contextual, contextual-2-4-dist, NN,VBZ,IN&RA&2]<MYSEP>1.6708048171370941E-6
[contextual, contextual-2-4-dist, CC,JJ,NN&LA&3]<MYSEP>-0.0015766648934083945
[contextual, contextual-2-4-dist, DT,DT,JJ&RA&1]<MYSEP>-0.002108888224075924
[contextual, contextual-2-4-dist, JJ,NN,.&LA&10]<MYSEP>6.355137277621738E-6
[contextual, contextual-2-4-dist, JJ,NN,CC&LA&5]<MYSEP>-2.21349994581896E-6
[contextual, contextual-2-4-dist, CC,IN,DT&LA&5]<MYSEP>-1.4310746448678157E-5
[contextual, contextual-2-4-dist, DT,NN,.&LA&4]<MYSEP>-0.009743269439206075
[contextual, contextual-2-4-dist, NN,NN,VBZ&LA&1]<MYSEP>-3.547378160583059E-4
[contextual, contextual-2-4-dist, DT,NN,.&LA&5]<MYSEP>-0.017508839505214785
[contextual, contextual-2-4-dist, IN,NNS,IN&RA&3]<MYSEP>-0.019589633627407673
[contextual, contextual-2-4-dist, IN,DT,NN&RA&5]<MYSEP>-0.00996884879256031
[contextual, contextual-2-4-dist, JJ,NN,VBZ&LA&2]<MYSEP>-0.002491335467663716
[contextual, contextual-2-4-dist, IN,DT,NN&RA&2]<MYSEP>-0.012986967860807165
[contextual, contextual-2-4-dist, IN,NNS,IN&LA&3]<MYSEP>-4.4426675257068426E-5
[contextual, contextual-2-4-dist, NNS,CC,NN&RA&5]<MYSEP>-7.243742845335893E-5
[contextual, contextual-2-4-dist, JJ,CC,NN&LA&10]<MYSEP>3.6555364319521185E-6
[contextual, contextual-2-4-dist, DT,DT,NN&RA&5]<MYSEP>-2.1421254988137396E-6
[contextual, contextual-2-4-dist, DT,DT,NN&RA&4]<MYSEP>-0.02117756542367951
[contextual, contextual-2-4-dist, DT,DT,NN&RA&1]<MYSEP>0.068055897665081
[contextual, contextual-2-4-dist, DT,NNS,IN&LA&5]<MYSEP>-1.3879421978955166E-6
[contextual, contextual-2-4-dist, CC,CC,DT&LA&1]<MYSEP>-0.0015397104326970302
[contextual, contextual-2-4-dist, IN,DT,NNS&RA&2]<MYSEP>-0.01956213634101005
[contextual, contextual-2-4-dist, DT,NNS,IN&LA&2]<MYSEP>-0.0012358529861003211
[contextual, contextual-2-4-dist, NNS,NN,CC&LA&4]<MYSEP>-6.965522138183643E-5
[contextual, contextual-2-4-dist, CC,DT,NN&LA&10]<MYSEP>-2.681764023189013E-6
[contextual, contextual-2-4-dist, MID,MID,CC&LA&0]<MYSEP>-0.010938751353457135
[contextual, contextual-2-4-dist, NNS,VBZ,IN&RA&5]<MYSEP>-0.0027499155223287357
[contextual, contextual-2-4-dist, VBZ,DT,NN&LA&5]<MYSEP>3.1861944160422815E-6
[contextual, contextual-2-4-dist, IN,DT,NN&LA&2]<MYSEP>-6.042887590635416E-4
[contextual, contextual-2-4-dist, IN,DT,NN&LA&5]<MYSEP>-1.9946455362609004E-5
[contextual, contextual-2-4-dist, NNS,CC,DT&RA&2]<MYSEP>-1.050119756383414E-4
[contextual, contextual-2-4-dist, VBZ,IN,DT&RA&5]<MYSEP>3.3630157244035584E-6
[contextual, contextual-2-4-dist, VBZ,IN,DT&RA&2]<MYSEP>-1.212242849160445E-6
[contextual, contextual-2-4-dist, NNS,IN,DT&RA&10]<MYSEP>-3.253256177659979E-5
[contextual, contextual-2-4-dist, CC,NN,.&LA&10]<MYSEP>-4.215350967081847E-5
[contextual, contextual-2-4-dist, MID,MID,NNS&RA&0]<MYSEP>-0.03486411377970724
[contextual, contextual-2-4-dist, DT,NN,.&RA&5]<MYSEP>-0.002663253441973022
[contextual, contextual-2-4-dist, JJ,NN,VBZ&RA&2]<MYSEP>-2.381047436222908E-6
[contextual, contextual-2-4-dist, VBZ,VBZ,IN&LA&1]<MYSEP>-7.15853209406991E-8
[contextual, contextual-2-4-dist, DT,NN,.&RA&4]<MYSEP>-0.003936916017509545
[contextual, contextual-2-4-dist, NNS,NN,VBZ&RA&5]<MYSEP>0.01726666112672582
[contextual, contextual-2-4-dist, NNS,NN,.&LA&5]<MYSEP>-0.003008474518719541
[contextual, contextual-2-4-dist, NN,NN,VBZ&RA&1]<MYSEP>5.639480962848227E-6
[contextual, contextual-2-4-dist, CC,DT,NNS&LA&5]<MYSEP>-1.4670289462426227E-5
[contextual, contextual-2-4-dist, NN,NN,.&RA&10]<MYSEP>5.99859837593835E-6
[contextual, contextual-2-4-dist, CC,CC,NN&RA&10]<MYSEP>3.3212828577868515E-6
[contextual, contextual-2-4-dist, IN,DT,NNS&LA&2]<MYSEP>-7.158086673749809E-5
[contextual, contextual-2-4-dist, IN,IN,DT&LA&1]<MYSEP>-8.118586201154616E-4
[contextual, contextual-2-4-dist, VBZ,DT,NN&RA&5]<MYSEP>2.9780239159469046E-6
[contextual, contextual-2-4-dist, MID,MID,CC&RA&0]<MYSEP>0.09639409734443838
